,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
279,2325,2357,both,Terra,229 Bleeker LLC,229 Bleeker LLC,222,West Broadway,Manhattan,10013,"222 West Broadway, Manhattan, NY",06/20/2020,40.71927,-74.006291,SoHo-TriBeCa-Civic Center-Little Italy
280,2348,2380,both,TESSA,BT Restaurant Enterprises LLC,TESSA,349,Amsterdam Avenue,Manhattan,10024,"349 Amsterdam Avenue, Manhattan, NY",06/20/2020,40.781607,-73.97943599999999,Upper West Side
281,2398,2430,sidewalk,draught 55,3kad llc,draught 55,245,east 55th street,Manhattan,10022,"245 east 55th street, Manhattan, NY",06/20/2020,40.758518,-73.967434,Turtle Bay-East Midtown
282,2402,2434,both,The Meatball Shop Upper East Side,1462 Second Restaurant LLC,The Meatball Shop Upper East Side,1462,Second Ave,Manhattan,10075,"1462 Second Ave, Manhattan, NY",06/20/2020,40.771626,-73.95629,Lenox Hill-Roosevelt Island
283,2417,2449,sidewalk,The Dakota Bar,53 west 72nd street cafe llc,53 west 72nd street cafe llc,53,72nd street,Manhattan,10023,"53 72nd street, Manhattan, NY",06/20/2020,,,
284,2419,2451,both,Keats Restaurant,J V Successors Inc,J V Successors Inc,842,Second ave,Manhattan,10017,"842  Second ave , Manhattan, NY",06/20/2020,40.751605,-73.970895,Turtle Bay-East Midtown
285,2423,2455,both,ASSET,329 Hospitality Group LLC,ASSET,329,Columbus Avenue,Manhattan,10023,"329 Columbus Avenue , Manhattan, NY",06/20/2020,40.779677,-73.977126,Upper West Side
286,2424,2456,both,Caffe Palermo,JoRach Inc,Caffe Palermo,148,Mulberry,Manhattan,10013,"148 Mulberry , Manhattan, NY",06/20/2020,,,
287,2432,2464,sidewalk,The Dakota Bar,53 west 72nd street cafe,53 west 72nd street cafe,53,72 Nd street,Manhattan,10023,"53 72 Nd street, Manhattan, NY",06/20/2020,,,
288,2449,2481,both,Phuman Singh,"Pggs Gourmet,inc",Columbus gourmet food,261,Columbus Avenue,Manhattan,10023,"261 Columbus Avenue , Manhattan, NY",06/20/2020,40.777564,-73.978672,Lincoln Square
289,2453,2485,sidewalk,Vive La Crepe,VLC Columbus & 86th LLC,Vive La Crepe!,532,Columbus Avenue,Manhattan,10023,"532 Columbus Avenue, Manhattan, NY",06/20/2020,40.786228,-73.972371,Upper West Side
290,2454,2486,sidewalk,Tal bagels,Skm&h corporations,Tal bagels,2446,Broadway,Manhattan,10024,"2446 Broadway , Manhattan, NY",06/20/2020,40.791078000000006,-73.97438100000001,Upper West Side
291,2467,2499,both,Cafe Ines,ARC 74th,ARC 74th St LLc,419,74th St,Manhattan,10021,"419 74th St, Manhattan, NY",06/20/2020,,,
292,2480,2512,both,Jacob's Pickles,"New York Beer Co., LLC",Jacob's Pickles,509,Amsterdam Avenue,Manhattan,10024,"509  Amsterdam Avenue, Manhattan, NY",06/20/2020,40.786657,-73.975751,Upper West Side
293,2483,2515,sidewalk,W & G Noodle Village Inc.,W & G Noodle Village Inc.,W & G Noodle Village Inc.,13,Mott Street,Manhattan,10013,"13 Mott Street, Manhattan, NY",06/20/2020,40.714127000000005,-73.99874799999999,Chinatown
294,2490,2522,sidewalk,Vive La Crepe!,VLC  Upper West LLC,Vive La Crepe!,189,Columbus Ave,Manhattan,10023,"189  Columbus Ave, Manhattan, NY",06/20/2020,40.775138,-73.98044200000001,Lincoln Square
295,2508,2540,sidewalk,subway,1613 second avenue food inc,corbet & conley caterers,1613,2nd avenue,Manhattan,10075,"1613 2nd avenue , Manhattan, NY",06/20/2020,40.776357,-73.952867,Yorkville
296,2510,2542,sidewalk,subway,second ave catering inc,second ave catering inc,834,second avenue,Manhattan,10017,"834 second avenue, Manhattan, NY",06/20/2020,40.751432,-73.971025,Turtle Bay-East Midtown
297,2515,2547,both,Luke’s Bar and Grill,Lira of New York Inc.,Luke’s Bar and Grill,1394,Third Ave.,Manhattan,10075,"1394 Third Ave., Manhattan, NY",06/20/2020,40.774509,-73.957144,Upper East Side-Carnegie Hill
298,2526,2558,both,Tiki Chick,"Tiki Chicki, LLC",Tiki Chick,517,Amsterdam Avenue,Manhattan,10024,"517  Amsterdam Avenue, Manhattan, NY",06/20/2020,40.786854,-73.97561,Upper West Side
