,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
507,7547,7600,both,CHOCOLATTE FRANKLIN CORP,CHOCOLATE ESPRESSO BAR,CHOCOLATE ESPRESSO BAR,800,FRANKLIN AVENUE,Brooklyn,11238,"800  FRANKLIN AVENUE, Brooklyn, NY",07/07/2020,40.671037,-73.957848,Crown Heights North
508,7563,7617,roadway,Dai Hachi Sushi,Dai Hachi Sushi Corp,Dai Hachi Sushi Corp,4618,Vernon Blvd,Queens,11101,"4618 Vernon Blvd, Queens, NY",07/07/2020,40.746338,-73.952907,Hunters Point-Sunnyside-West Maspeth
509,7565,7619,both,Dai Hachi Sushi,Dai Hachi Sushi Corp,Dai Hachi Sushi Corp,4618,vernon blvd,Queens,11101,"4618  vernon blvd, Queens, NY",07/07/2020,40.746338,-73.952907,Hunters Point-Sunnyside-West Maspeth
510,7596,7650,both,Dream Baby,162-4 Ave B Bar Inc,Dream Baby,162-4,Ave B,Manhattan,10009,"162-4  Ave B, Manhattan, NY",07/07/2020,40.727066,-73.979774,East Village
511,7598,7652,both,2A,Swauto Ltd,2A,25,Ave A,Manhattan,10009,"25 Ave A, Manhattan, NY",07/07/2020,40.722909,-73.98583599999999,East Village
512,7599,7653,both,John Brown Smokehouse,Harpers Ferry Hospitality LLC,John Brown Smokehouse,1943-10-01T00:00:00.000,44th Drive,Queens,11101,"10-43 44th Drive, Queens, NY",07/07/2020,40.748763000000004,-73.95072900000001,Hunters Point-Sunnyside-West Maspeth
513,7602,7656,both,Niagara / Tompkins Square Bar,Tozzer Ltd,Niagara / Tompkins Square Bar/ Lovers,110-112,Ave A,Manhattan,10009,"110-112 Ave A, Manhattan, NY",07/07/2020,40.725881,-73.983649,East Village
514,7616,7670,sidewalk,Wild Birds,Wild Birds LLC,Wild Birds LLC,951,Dean Street,Brooklyn,11238,"951 Dean Street, Brooklyn, NY",07/08/2020,40.678185,-73.958352,Crown Heights North
515,7623,7677,sidewalk,Boilermaker,Golden C Hospitality LLC,Boilermaker,13,1st Ave,Manhattan,10009,"13 1st Ave, Manhattan, NY",07/08/2020,40.723321,-73.988401,East Village
516,7624,7678,sidewalk,Murrays Cheese Bar,Murrays LIC LLC,Murrays Cheese Bar,28-30,Jackson Ave,Queens,11101,"28-30 Jackson Ave, Queens, NY",07/08/2020,40.748642,-73.938133,Hunters Point-Sunnyside-West Maspeth
