,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
83,6696,6740,both,640 EAST RESTAURANT CORP,640 EAST RESTAURANT CORP,EL VALLE,640,MELROSE AVENUE,Bronx,10455,"640 MELROSE AVENUE, Bronx, NY",07/01/2020,40.81843,-73.916687,Melrose South-Mott Haven North
84,6699,6743,both,SOUTHERN BLVD'S CAFE CORP,SOUTHERN BLVD'S CAFE CORP,EL VALLE RESTAURANT,794,SOUTHERN BLVD,Bronx,10455,"794 SOUTHERN BLVD, Bronx, NY",07/01/2020,40.816012,-73.896517,Longwood
85,6717,6761,roadway,Test,Test,Test,555,Test,Bronx,10455,"555 Test, Bronx, NY",07/01/2020,,,
86,6739,6783,sidewalk,Don Chile Mexican Grill,DON CHILE MEXICAN GRILL CORP.,DON CHILE MEXICAN GRILL CORP.,801,Southern Boulevard,Bronx,10459,"801  Southern Boulevard, Bronx, NY",07/01/2020,40.816456,-73.896086,Hunts Point
87,6760,6804,both,El Diamante Restaurant Corp,El Diamante Restaurant Corp,El Diamante Restaurant,4371,Third Avenue,Bronx,10457,"4371 Third Avenue, Bronx, NY",07/01/2020,40.850478,-73.894215,Claremont-Bathgate
88,6787,6831,both,1900 JEROME AVE SPORTS BAR INC,1900 JEROME AVE SPORTS BAR INC,1900 JEROME AVE SPORTS BAR INC,1900,JEROME AVENUE,Bronx,10453,"1900 JEROME AVENUE, Bronx, NY",07/01/2020,40.85042,-73.91036899999999,Mount Hope
89,6976,7020,both,SABOR DE MI TIERRA RESTAURANT CORP,SABOR DE MI TIERRA RESTAURANT CORP,SABOR DE MI TIERRA RESTAURANT CORP,1712,UNIVERSITY AVENUE,Bronx,10453,"1712  UNIVERSITY AVENUE, Bronx, NY",07/02/2020,40.848620000000004,-73.918019,University Heights-Morris Heights
90,6982,7026,sidewalk,Casa del Mar,"Webster Avenue Enterprise, Inc.","Webster Avenue Enterprise, Inc.",1779,Webster Avenue,Bronx,10457,"1779 Webster Avenue, Bronx, NY",07/02/2020,40.845399,-73.902243,Mount Hope
91,7008,7052,sidewalk,lechonera pollo sabroso,1089 lechonera corp.,lechonera pollo sabroso,1089,southern boulevard,Bronx,10459,"1089  southern boulevard, Bronx, NY",07/02/2020,40.825831,-73.891931,Hunts Point
92,7021,7066,sidewalk,SANTA CLARITA RESTAURANT CORP,SANTA CLARITA RESTAURANT CORP,SANTA CLARITA RESTAURANT CORP,237,WILLIS AVE,Bronx,10454,"237  WILLIS AVE, Bronx, NY",07/02/2020,40.809212,-73.922822,Mott Haven-Port Morris
93,7154,7207,both,Reina Restaurant,Reina Restaurant,Reina Restaurant,1969,University Avenue,Bronx,10453,"1969  University Avenue, Bronx, NY",07/03/2020,40.854324,-73.911824,University Heights-Morris Heights
94,7160,7213,both,La Espiga 3 Estrellas,La Espiga 3 Estrellas Corp.,La Espiga 3 Estrellas,558,Southern Blvd.,Bronx,10455,"558  Southern Blvd., Bronx, NY",07/03/2020,40.812373,-73.903278,Longwood
95,7255,7308,both,Burger chimi tropical,Burger chimi tropical corp.,Burger chimi tropical corp.,940,Southern Blvd,Bronx,10459,"940 Southern Blvd, Bronx, NY",07/05/2020,40.821096000000004,-73.89161700000001,Hunts Point
96,7324,7377,sidewalk,Rinconcito Tepeyac,Rinconcito Tepeyac Inc.,Rinconcito Tepellac Inc.,381E,138th Street,Bronx,10454,"381E 138th Street, Bronx, NY",07/06/2020,40.809338000000004,-73.92341400000001,Mott Haven-Port Morris
97,7325,7378,sidewalk,Rinconcito Tepeyac,Rinconcito Tepellac Inc.,Rinconcito Tepellac Inc.,381 E,138th street,Bronx,10454,"381 E 138th street , Bronx, NY",07/06/2020,40.809338000000004,-73.92341400000001,Mott Haven-Port Morris
98,7393,7446,both,MORENA RESTAURANT,MORENA RESTAURANT L.L.C,MORENA RESTAURANT L.L.C,2151,JEROME AVE,Bronx,10453,"2151 JEROME AVE, Bronx, NY",07/06/2020,40.855853,-73.905528,University Heights-Morris Heights
99,7420,7473,both,quiet bar restaurant,quiet bar restaurant llc,quiet bar restaurant,535,east tremont av,Bronx,10457,"535 east tremont av, Bronx, NY",07/06/2020,40.846623,-73.895923,East Tremont
100,7422,7475,both,LA CUEVA FONDA RESTAURANTE,MARTINEZ & NINO CORP,LA CUEVA FONDA RESTAURANTE,961,LEGGETT AVENUE,Bronx,10455,"961 LEGGETT AVENUE, Bronx, NY",07/06/2020,40.815298999999996,-73.900214,Longwood
101,7505,7558,sidewalk,Suyo gastrofusion,KIMO MANAGEMENT GROUP,KIMO MANAGEMENT GROUP CORP50083399,1401,Plaza dr,Bronx,10452,"1401 Plaza dr, Bronx, NY",07/07/2020,40.840501,-73.91800400000001,Highbridge
